income,age,p
6080.36,59.08,0.0
6080.36,62.24,0.0
6080.36,65.4,0.0
6080.36,68.56,0.0
6080.36,71.72,0.00045
6080.36,74.88,0.00045
6080.36,78.04,0.0
6080.36,81.2,0.0
6080.36,84.36,0.0
6080.36,87.52,0.0
6080.36,90.68,0.0
6080.36,93.84,0.0
6080.36,97.0,0.0
6080.36,100.16,0.0
6080.36,103.32,0.0
6460.32,11.68,0.0
6460.32,14.84,0.0
6460.32,18.0,0.0
6460.32,21.16,0.0
6460.32,24.32,0.0
6460.32,27.48,0.0
6460.32,30.64,0.0
6460.32,33.8,0.0
6460.32,36.96,0.0
6460.32,40.12,0.0
6460.32,43.28,0.00045
6460.32,46.44,0.0
6460.32,49.6,0.0
6460.32,52.76,0.0
6460.32,55.92,0.0
6460.32,59.08,0.0
6460.32,62.24,0.0
6460.32,65.4,0.0
6460.32,68.56,0.0
6460.32,71.72,0.00045
6460.32,74.88,0.0
6460.32,78.04,0.0
6460.32,81.2,0.0
6460.32,84.36,0.0
6460.32,87.52,0.0
6460.32,90.68,0.0
6460.32,93.84,0.0
6460.32,97.0,0.0
6460.32,100.16,0.0
6460.32,103.32,0.0
6840.28,11.68,0.0
6840.28,14.84,0.0
6840.28,18.0,0.0
6840.28,21.16,0.0
6840.28,24.32,0.0
6840.28,27.48,0.0
6840.28,30.64,0.0
6840.28,33.8,0.0
6840.28,36.96,0.0
6840.28,40.12,0.0
6840.28,43.28,0.0
6840.28,46.44,0.0
6840.28,49.6,0.0
6840.28,52.76,0.00045
6840.28,55.92,0.00045
6840.28,59.08,0.0
6840.28,62.24,0.0
6840.28,65.4,0.0
6840.28,68.56,0.0
6840.28,71.72,0.0
6840.28,74.88,0.0
6840.28,78.04,0.0
6840.28,81.2,0.0
6840.28,84.36,0.0
6840.28,87.52,0.0
6840.28,90.68,0.0
6840.28,93.84,0.0
6840.28,97.0,0.0
6840.28,100.16,0.0
6840.28,103.32,0.0
7220.24,11.68,0.0
7220.24,14.84,0.0
7220.24,18.0,0.0
