linearity,z_min
0.3543,-0.057999999999999996
0.2157,1.486
0.4319,0.1758
0.408,4.36
0.8259,2.245
0.47600000000000003,0.027000000000000003
0.3458,6.779
0.3375,2.1185
0.1686,0.2445
0.259,-0.040999999999999995
0.2586,-0.10099999999999999
0.4525,-0.109
0.5375,-0.062
0.4195,0.044000000000000004
0.2008,0.039
0.5483,19.0155
0.2658,13.302999999999999
0.4444,4.748
0.2143,0.293
0.2541,12.783
0.2686,8.4817
0.2726,5.686
0.5147,8.7902
0.3317,1.2962
0.1988,3.2893
0.3593,6.1770000000000005
0.1947,0.0265
0.2943,4.149
0.2858,13.258
0.4106,1.8430000000000002
0.3777,0.033
0.3672,7.385
0.4633,0.034
0.9186,1.2825
0.4311,2.2324
0.3342,-0.048
0.1684,8.1857
0.2629,28.3745
0.297,6.442
0.3146,9.8738
0.7051,6.9353
0.7558,-0.054000000000000006
0.2077,-0.038
0.2732,7.2
0.2947,5.307
0.2146,0.102
0.193,-0.055
0.3445,-0.03
0.3066,0.297
0.6547,0.021
0.2999,10.8797
0.1219,0.0218
0.9155,-0.054000000000000006
0.3947,1.865
0.2743,11.7288
0.6289,-0.054000000000000006
0.289,5.832999999999999
0.2395,12.4227
0.4124,-0.2935
0.263,3.2925
0.4572,5.052
0.348,3.5592
0.2895,0.054000000000000006
0.3283,-0.032
0.2587,-0.0145
0.3794,-0.0903
0.3584,3.338
0.2869,2.569
0.249,6.397
0.3779,5.746
0.4552,12.6417
0.7562,5.185
0.5892,2.096
0.3188,-0.028999999999999998
0.3458,2.8724
0.3434,1.304
0.2474,-0.23399999999999999
0.2347,19.5306
0.2617,-0.045
0.4765,-0.009000000000000001
0.3123,1.47
0.3169,-0.055
0.2337,3.145
0.2455,4.7393
0.3261,1.6874
0.2514,3.478
0.4961,0.7659999999999999
0.1897,0.0594
0.3155,4.9468
0.7154,0.1679
0.4125,0.08
0.3805,0.24100000000000002
0.9482,1.069
0.36700000000000005,27.8263
0.3898,-0.038
0.4001,0.235
0.2297,2.675
0.3256,-0.028999999999999998
0.2206,0.485
0.3798,-0.052000000000000005
0.1699,-0.213
0.4879,5.1903
0.5126,2.5435
0.5258,0.027000000000000003
0.3683,-0.048
0.3169,-0.055
0.9036,5.8906
0.4523,0.5793
0.5011,6.442
0.4741,0.06
0.2556,8.669
0.2489,0.473
0.2444,4.8353
0.2725,6.3804
0.2687,8.5283
0.5258,0.027000000000000003
0.2551,0.4736
0.311,0.1493
0.1519,3.27
